Bangla,English
"এদেশের রাস্তা চলাচলের জন্য অনুপযুক্ত,অথচ সরকার পড়ে আছে রাস্তার আকাশ ও পাতাল নিয়ে।","Roads in this country are unfit for traffic, but the government is busy with the sky and underground."
বাঙালি পারলে মেট্রোর ছাদে উঠে যাইত খালি এই মেট্রো গুলা কারেন্টে চলে দেখে পারতাছে না।,"Bengali would travel on top of the metro, but they couldn't as these run on electricity."
ফেসবুকের কিছু উল্টাপাল্টা পোস্টের কমেন্টে ডাটা পাওয়া যেতে পারে।,Data could be found in the comments of weird Facebook posts.
"ভেবে করিও কাজ, করিয়া ভেবো না।","Think before doing, don't think after doing."
ছেলের জন্য দোয়া রইলো।,Prayers for your son.
বাংলাদেশের সব জেলাতেই উন্নয়নের মহা পরিকল্পনার ছোয়া লাগলেও সিলেট বঞ্চিত।,"Even though the all the districts of Bangladesh are benefitted by the grand plan of development, Sylhet is left deprived"
পয়সা দিয়ে ভেজ কেন খাবো?,Why would I buy vegetarian food with money?
"কেন ভাই, বাংলাদেশে কি উট পালন করা যায় না?","Why brother, can Camels not be raised in Bangladesh?"
"প্রেশার বলতে না, যখন দেখি ৬০ রান দরকার মুশফিক ভাইকে বলি আপনি যেহেতু আছেন আমি এট্যাকে যাই।","There was no pressure, when I saw we needed 60 runs I said to Mushfiq bhai as you are here, I should attack."
"দাদা এই একটা কথা মানতে পারলাম না, তোরেস কে ভিয়ার থেকে বেশি চিনতো একসময়।","Brother I could not agree with you, more people used to know Torres than Villa."
এক্কেবারে হাছা কথা কইছেন।,You have said the truth.
"সাবাস, দেরিতে হলেও বাংলার মানুষ বুঝতে শিখেছে।","Bravo, people of Bengal have started understanding even though it is late."
কোন প্রকার পরীক্ষা নিরীক্ষা ছাড়াই এই বাসের বডি গুলাতে থাকে না কোন এরোডায়নামিক শেপ বা ব্যালেন্সিং টেকনিক।,These buses run without any testing and do not have any aerodynamic shape or balancing technique.
"না আছে পিসি, না আছে কীবোর্ড, তারপরেও কীবোর্ড রিভিউ দেখতেসি কেনো নিজেও জানিনা।","I don't have PC, I don't have keyboard, but I don't know why I am watching keyboard reviews."
বাতাসে মাটির সুগন্ধ অনুভব করতে পারছি।,I can smell the aroma of earth in the air.
আগুনের সূত্রপাতের কথাই জানাইলেন না।,You haven't told about the origin of fire.
মার্কিন কর্মকর্তাদের উচিত সঠিক তথ্য নিয়ে বর্তমান অপশাসনের মুক্তিতে ভুমিকা রাখা।,US officials should play a role in liberating from the current mismanagement with accurate information.
"মৃত্যু যেখানে অনিবার্য,পালিয়ে না বেরিয়ে তার এমন চিত্রায়নই শ্রেয়।","When death is inevitable, it is better to portray it like this rather than escaping from it."
"তুমি রবীন্দ্রনাথ বোঝোনা, আমি অঙ্ক বুঝিনা।","You do not understand Rabindranath, and I do not understand math."
তবে কি চেক দেশের হোটেল থার্মেলের সামনে এখন কিয়ারোস্তামির শুভ্র ছায়া দেখা যাবে?,Can the white shadow of Kiarostami be seen in front of Hotel Thermal in Czech Republic?
